DB,UT,DI,PMID,TI,SO,JI,PY,DT,LA,TC,AU,AF,C1,RP,CR,DE,ID,AB,VL,IS,BP,EP,SR
PUBMED,,,38262670,Impact of different corticosteroids on severe community-acquired pneumonia: a systematic review and meta-analysis.,BMJ Open Respir Res,,2024,Meta-Analysis,eng,0,See XY;Wang TH;Chang YC;Lo J;Liu W;Choo CYW;Lee YC;Ma KSK;Chiang CH;Hsia YP;Chiang CH;Chiang CH,,,,,,,,11,1,,,"XY See, 2024, BMJ Open Respir Res"
PUBMED,,,38104536,The Effect of Exercise on Cardiotoxicity in Women with Breast Cancer Receiving Anthracycline-Based Chemotherapy: A Systematic Review and Meta-Analysis.,Oncology,,2024,Systematic Review,eng,0,Chiang CH;Chang YC;Haw Y;Tan JY;Chiang CH;Hsia YP;Chiang CH,,,,,,,,102,6,510-514,,"CH Chiang, 2024, Oncology"
PUBMED,,,38081880,A CNN based m5c RNA methylation predictor.,Sci Rep,,2023,Journal Article,eng,0,Aslam I;Shah S;Jabeen S;ELAffendi M;A Abdel Latif A;Ul Haq N;Ali G,,,,,,,,13,1,21885,,"I Aslam, 2023, Sci Rep"
PUBMED,,,38053104,21st century (clinical) decision support in nursing and allied healthcare. Developing a learning health system: a reasoned design of a theoretical framework.,BMC Med Inform Decis Mak,,2023,Journal Article,eng,0,van Velzen M;de Graaf-Waar HI;Ubert T;van der Willigen RF;Muilwijk L;Schmitt MA;Scheper MC;van Meeteren NLU,,,,,,,,23,1,279,,"M van Velzen, 2023, BMC Med Inform Decis Mak"
PUBMED,,,38026834,Multiple imputation of missing data in multilevel ecological momentary assessments: an example using smoking cessation study data.,Front Digit Health,,2023,Journal Article,eng,0,Ji L;Li Y;Potter LN;Lam CY;Nahum-Shani I;Wetter DW;Chow SM,,,,,,,,5,,1099517,,"L Ji, 2023, Front Digit Health"
PUBMED,,,37961606,"OASIS: An interpretable, finite-sample valid alternative to Pearson's X2 for scientific discovery.",bioRxiv,,2023,Preprint,eng,0,Baharav TZ;Tse D;Salzman J,,,,,,,,,,,,"TZ Baharav, 2023, bioRxiv"
PUBMED,,,37926930,Optimal dose for the efficacy of asenapine in patients with schizophrenia: Real-world data.,Neuropsychopharmacol Rep,,2024,Meta-Analysis,eng,0,Takekita Y;Hiraoka S;Iwama Y;Matsui D;Aoki N;Ogata H;Funatsuki T;Shimizu T;Murase Y;Koshikawa Y;Kato M;Kinoshita T,,,,,,,,44,1,234-239,,"Y Takekita, 2024, Neuropsychopharmacol Rep"
PUBMED,,,37915525,What does it mean to be an agent?,Front Psychol,,2023,Journal Article,eng,0,Naidoo M,,,,,,,,14,,1273470,,"M Naidoo, 2023, Front Psychol"
PUBMED,,,37907469,Author Correction: Non-pharmaceutical interventions to combat COVID-19 in the Americas described through daily sub-national data.,Sci Data,,2023,Published Erratum,eng,0,Touchton M;Knaul FM;Arreola-Ornelas H;Porteny T;Carniado ÓM;Faganello M;Hummel C;Otero S;Insua J;Patino F;Undurraga E;Pérez-Cruz P;Sanchez-Talanquer M;Velasco Guachalla VX;Nelson-Nuñez J;Boulding C;Calderon-Anyosa R;Garcia PJ;Vargas Enciso V,,,,,,,,10,1,751,,"M Touchton, 2023, Sci Data"
PUBMED,,,37899087,Are maternal vaccines effective and safe for mothers and infants? A systematic review and meta-analysis of randomised controlled trials.,BMJ Glob Health,,2023,Meta-Analysis,eng,0,de Bruin O;Phijffer E;Ahmadizar F;van der Maas N;Wildenbeest J;Sturkenboom M;Bont L;Bloemenkamp K,,,,,,,,8,10,,,"O de Bruin, 2023, BMJ Glob Health"
PUBMED,,,37866733,Ketamine versus electroconvulsive therapy for major depressive disorder: A deeper dive into the data.,J Affect Disord,,2024,Letter,eng,0,Wang Z;Chiang CH;Hsia YP;Chiang CH;Chiang CH,,,,,,,,345,,120-121,,"Z Wang, 2024, J Affect Disord"
PUBMED,,,37865630,Non-pharmaceutical interventions to combat COVID-19 in the Americas described through daily sub-national data.,Sci Data,,2023,Dataset,eng,0,Touchton M;Knaul FM;Arreola-Ornelas H;Porteny T;Carniado ÓM;Faganello M;Hummel C;Otero S;Insua J;Patino F;Undurraga E;Pérez-Cruz P;Sanchez-Talanquer M;Velasco Guachalla VX;Nelson-Nuñez J;Boulding C;Calderon-Anyosa R;Garcia PJ;Vargas Enciso V,,,,,,,,10,1,734,,"M Touchton, 2023, Sci Data"
PUBMED,,,37853448,"Healthcare professional and manager perceptions on drivers, benefits, and challenges of telemedicine: results from a cross-sectional survey in the Italian NHS.",BMC Health Serv Res,,2023,Journal Article,eng,0,Antonacci G;Benevento E;Bonavitacola S;Cannavacciuolo L;Foglia E;Fusi G;Garagiola E;Ponsiglione C;Stefanini A,,,,,,,,23,1,1115,,"G Antonacci, 2023, BMC Health Serv Res"
PUBMED,,,37792852,Characterization of 3D organotypic epithelial tissues reveals tonsil-specific differences in tonic interferon signaling.,PLoS One,,2023,Journal Article,eng,0,Jackson R;Rajadhyaksha EV;Loeffler RS;Flores CE;Van Doorslaer K,,,,,,,,18,10,e0292368,,"R Jackson, 2023, PLoS One"
PUBMED,,,37787143,Influence of nanopore coating patterns on the translocation dynamics of polyelectrolytes.,J Chem Phys,,2023,Journal Article,eng,0,Datar A;Tanyhin B;Melchionna S;Fyta M,,,,,,,,159,13,,,"A Datar, 2023, J Chem Phys"
PUBMED,,,37778607,Adopting a child perspective for exposome research on mental health and cognitive development - Conceptualisation and opportunities.,Environ Res,,2023,Journal Article,eng,0,Persson Waye K;Löve J;Lercher P;Dzhambov AM;Klatte M;Schreckenberg D;Belke C;Leist L;Ristovska G;Jeram S;Kanninen KM;Selander J;Arat A;Lachmann T;Clark C;Botteldooren D;White K;Julvez J;Foraster M;Kaprio J;Bolte G;Psyllidis A;Gulliver J;Boshuizen H;Bozzon A;Fels J;Hornikx M;van den Hazel P;Weber M;Brambilla M;Braat-Eggen E;Van Kamp I;Vincens N;Equal-life Scientific Team,,,,,,,,239,Pt 1,117279,,"K Persson Waye, 2023, Environ Res"
PUBMED,,,37769849,Challenges of artificial intelligence in precision oncology: public-private partnerships including national health agencies as an asset to make it happen.,Ann Oncol,,2024,Editorial,eng,0,Luu VP;Fiorini M;Combes S;Quemeneur E;Bonneville M;Bousquet PJ,,,,,,,,35,2,154-158,,"VP Luu, 2024, Ann Oncol"
PUBMED,,,37644607,Effects of corticosteroids on severe community-acquired pneumonia: a closer look at the evidence.,Crit Care,,2023,Letter,eng,0,Chiang CH;See XY;Wang TH;Chang YC;Lo JE;Liu WT;Choo CYW;Chiang CH;Hsia YP;Chiang CH,,,,,,,,27,1,336,,"CH Chiang, 2023, Crit Care"
PUBMED,,,37360931,Data-driven customer acceptance for attended home delivery.,OR Spectr,,2023,Journal Article,eng,0,Köhler C;Campbell AM;Ehmke JF,,,,,,,,,,1-36,,"C Köhler, 2023, OR Spectr"
PUBMED,,,37333015,Brief Report: A Multidisciplinary Initial Workup for Suspected Lung Cancer as Fast-Track Intervention to Histopathologic Diagnosis.,JTO Clin Res Rep,,2023,Journal Article,eng,0,Pujol JL;Mercier G;Vasile M;Serre I;Vernhet-Kovacsik H;Bommart S,,,,,,,,4,6,100526,,"JL Pujol, 2023, JTO Clin Res Rep"
PUBMED,,,37327210,Predicted versus CT-derived total lung volume in a general population: The ImaLife study.,PLoS One,,2023,Journal Article,eng,0,Wisselink HJ;Steerenberg DJD;Rook M;Pelgrim GJ;Heuvelmans MA;van den Berge M;de Bock GH;Vliegenthart R,,,,,,,,18,6,e0287383,,"HJ Wisselink, 2023, PLoS One"
PUBMED,,,37277211,Characterisation of patients with axial psoriatic arthritis and patients with axial spondyloarthritis and concomitant psoriasis in the SCQM registry.,RMD Open,,2023,Journal Article,eng,0,Ciurea A;Götschi A;Kissling S;Bernatschek A;Bürki K;Exer P;Nissen MJ;Möller B;Scherer A;Micheroli R,,,,,,,,9,2,,,"A Ciurea, 2023, RMD Open"
PUBMED,,,37250091,System Integrated Digital Empowering and teleRehabilitation to promote patient Activation and well-Being in chronic disabilities: A usability and acceptability study.,Front Public Health,,2023,Journal Article,eng,0,Rossetto F;Borgnis F;Isernia S;Foglia E;Garagiola E;Realdon O;Baglio F,,,,,,,,11,,1154481,,"F Rossetto, 2023, Front Public Health"
PUBMED,,,37243964,"Authors' Reply to Juergen O Kirchner's Comment on ""Incidence Rates of Autoimmune Diseases in European Healthcare Databases: A Contribution of the ADVANCE Project"".",Drug Saf,,2023,Letter,eng,0,Willame C;Weibel D;Sturkenboom MCJM,,,,,,,,46,8,813-815,,"C Willame, 2023, Drug Saf"
PUBMED,,,37231860,Toward a Flexible Use of Frailty Measurements in Older People.,Gerontology,,2023,Letter,eng,0,Van der Elst MCJ;Schoenmakers B;Schols JMGA;De Witte N;De Lepeleire J;D-SCOPE Consortium,,,,,,,,69,9,1113-1114,,"MCJ Van der Elst, 2023, Gerontology"
PUBMED,,,37198019,Assessing vaccine safety during a pandemic: Recent experience and lessons learned for the future.,Vaccine,,2023,Review,eng,0,Black SB;Chandler RE;Edwards KM;Sturkenboom MCJM,,,,,,,,41,25,3790-3795,,"SB Black, 2023, Vaccine"
